timestamp,provider,model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
2026-04-24T23:40:25.108079,deepseek,deepseek-v4-flash,5,165,170,4.7e-05
2026-04-24T23:40:28.770630,deepseek,deepseek-v4-flash,147,241,388,8.8e-05
2026-04-24T23:40:37.663587,deepseek,deepseek-v4-flash,237,217,454,9.4e-05
2026-04-24T23:40:39.737893,deepseek,deepseek-v4-flash,232,124,356,6.7e-05
2026-04-24T23:40:42.858431,deepseek,deepseek-v4-flash,236,185,421,8.5e-05
2026-04-24T23:40:45.703047,deepseek,deepseek-v4-flash,5,146,151,4.2e-05
2026-04-24T23:40:49.923916,deepseek,deepseek-v4-flash,147,294,441,0.000103
2026-04-24T23:40:56.838553,deepseek,deepseek-v4-flash,237,181,418,8.4e-05
2026-04-24T23:40:59.953128,deepseek,deepseek-v4-flash,232,221,453,9.4e-05
2026-04-24T23:41:02.402839,deepseek,deepseek-v4-flash,236,159,395,7.8e-05
2026-04-24T23:41:05.978062,deepseek,deepseek-v4-flash,5,207,212,5.9e-05
2026-04-24T23:41:10.440376,deepseek,deepseek-v4-flash,147,320,467,0.00011
2026-04-24T23:41:19.010983,deepseek,deepseek-v4-flash,237,193,430,8.7e-05
2026-04-24T23:41:20.948862,deepseek,deepseek-v4-flash,232,113,345,6.4e-05
2026-04-24T23:41:23.478743,deepseek,deepseek-v4-flash,236,161,397,7.8e-05
2026-04-24T23:41:26.407924,deepseek,deepseek-v4-flash,5,172,177,4.9e-05
2026-04-24T23:41:30.104608,deepseek,deepseek-v4-flash,147,266,413,9.5e-05
2026-04-24T23:41:36.992105,deepseek,deepseek-v4-flash,237,148,385,7.5e-05
2026-04-24T23:41:38.893764,deepseek,deepseek-v4-flash,232,107,339,6.2e-05
2026-04-24T23:41:42.488928,deepseek,deepseek-v4-flash,236,268,504,0.000108
2026-04-24T23:41:45.580794,deepseek,deepseek-v4-flash,5,153,158,4.4e-05
2026-04-24T23:41:49.287844,deepseek,deepseek-v4-flash,147,254,401,9.2e-05
2026-04-24T23:41:56.967427,deepseek,deepseek-v4-flash,237,154,391,7.6e-05
2026-04-24T23:41:59.051033,deepseek,deepseek-v4-flash,232,134,366,7e-05
2026-04-24T23:42:02.810090,deepseek,deepseek-v4-flash,236,259,495,0.000106
2026-04-24T23:42:05.248834,deepseek,deepseek-v4-flash,5,129,134,3.7e-05
2026-04-24T23:42:10.132734,deepseek,deepseek-v4-flash,147,291,438,0.000102
2026-04-24T23:42:16.519848,deepseek,deepseek-v4-flash,237,132,369,7e-05
2026-04-24T23:42:18.758050,deepseek,deepseek-v4-flash,232,151,383,7.5e-05
2026-04-24T23:42:22.340965,deepseek,deepseek-v4-flash,236,239,475,0.0001
2026-04-24T23:42:24.844241,deepseek,deepseek-v4-flash,5,124,129,3.5e-05
2026-04-24T23:42:28.457768,deepseek,deepseek-v4-flash,147,237,384,8.7e-05
2026-04-24T23:42:38.156671,deepseek,deepseek-v4-flash,237,311,548,0.00012
2026-04-24T23:42:42.260238,deepseek,deepseek-v4-flash,232,297,529,0.000116
2026-04-24T23:42:45.276404,deepseek,deepseek-v4-flash,236,206,442,9.1e-05
2026-04-24T23:42:48.009689,deepseek,deepseek-v4-flash,5,153,158,4.4e-05
2026-04-24T23:42:51.339819,deepseek,deepseek-v4-flash,147,207,354,7.9e-05
2026-04-24T23:42:57.995270,deepseek,deepseek-v4-flash,237,157,394,7.7e-05
2026-04-24T23:43:00.267785,deepseek,deepseek-v4-flash,232,148,380,7.4e-05
2026-04-24T23:47:19.148315,deepseek,deepseek-v4-flash,237,140,377,7.2e-05
2026-04-24T23:47:23.414217,deepseek,deepseek-v4-flash,232,317,549,0.000121
2026-04-24T23:47:27.769153,deepseek,deepseek-v4-flash,236,310,546,0.00012
